"Batter_Name","where_caught","count_of_where_caught"
"Ayush Badoni","deep fine leg",5
"Ayush Badoni","deep mid-wicket",3
"Ayush Badoni","mid-on",3
"Ayush Badoni","point",3
"Ayush Badoni","deep square leg",2
"Ayush Badoni","long-off",2
"Ayush Badoni","third man",2
"Ayush Badoni","cover",1
"Ayush Badoni","gully",1
"Ayush Badoni","mid-off",1
"Ayush Badoni","mid-wicket",1
"Ayush Badoni","slip",1
"Ayush Badoni","wicket-keeper",1
"A Kamboj","gully",1
"Abhinav Manohar","long-off",3
"Abhinav Manohar","deep cover",2
"Abhinav Manohar","mid-on",2
"Abhinav Manohar","third man",2
"Abhinav Manohar","cover",1
"Abhinav Manohar","gully",1
"Abhinav Manohar","mid-off",1
"Abhinav Manohar","slip",1
"A Mhatre","deep cover",1
"A Mhatre","deep fine leg",1
"A Mhatre","deep square leg",1
"A Mhatre","gully",1
"A Mhatre","mid-off",1
"A Mhatre","mid-wicket",1
"A Mhatre","wicket-keeper",1
"Amit Mishra","deep square leg",1
"Anrich Nortje","square leg",1
"Angkrish Raghuvanshi","cover",2
"Angkrish Raghuvanshi","gully",2
"Angkrish Raghuvanshi","long-on",2
"Angkrish Raghuvanshi","square leg",2
"Angkrish Raghuvanshi","wicket-keeper",2
"Angkrish Raghuvanshi","deep cover",1
"Angkrish Raghuvanshi","deep fine leg",1
"Angkrish Raghuvanshi","mid-on",1
"Angkrish Raghuvanshi","point",1
"Angkrish Raghuvanshi","slip",1
"Abhijeet Tomar","deep mid-wicket",1
"AA Kulkarni","gully",1
"Andre Russell","long-on",3
"Andre Russell","mid-wicket",3
"Andre Russell","deep mid-wicket",2
"Andre Russell","long-off",2
"Andre Russell","mid-off",2
"Andre Russell","slip",2
"Andre Russell","third man",2
"Andre Russell","cover",1
"Andre Russell","deep fine leg",1
"Andre Russell","deep square leg",1
"Andre Russell","fine leg",1
"Andre Russell","mid-on",1
"Andre Russell","point",1
"Aaron Finch","cover",1
"Aaron Finch","long-off",1
"Aaron Finch","mid-on",1
"Ashton Turner","non-striker's end",1
"Aiden Markram","deep fine leg",5
"Aiden Markram","long-on",3
"Aiden Markram","cover",2
"Aiden Markram","deep mid-wicket",2
"Aiden Markram","fine leg",2
"Aiden Markram","mid-on",2
"Aiden Markram","mid-wicket",2
"Aiden Markram","point",2
"Aiden Markram","square leg",2
"Aiden Markram","deep cover",1
"Aiden Markram","gully",1
"Aiden Markram","long-off",1
"Aiden Markram","slip",1
"Aiden Markram","wicket-keeper",1
"Ajinkya Rahane","gully",4
"Ajinkya Rahane","deep fine leg",3
"Ajinkya Rahane","mid-wicket",3
"Ajinkya Rahane","slip",3
"Ajinkya Rahane","square leg",3
"Ajinkya Rahane","wicket-keeper",3
"Ajinkya Rahane","mid-off",2
"Ajinkya Rahane","mid-on",2
"Ajinkya Rahane","cover",1
"Ajinkya Rahane","deep cover",1
"Ajinkya Rahane","deep square leg",1
"Ajinkya Rahane","fine leg",1
"Ajinkya Rahane","long-off",1
"Ajinkya Rahane","non-striker's end",1
"Ajinkya Rahane","point",1
"Ajinkya Rahane","third man",1
"Axar Patel","deep mid-wicket",4
"Axar Patel","gully",3
"Axar Patel","mid-wicket",3
"Axar Patel","long-off",2
"Axar Patel","slip",2
"Axar Patel","cover",1
"Axar Patel","deep cover",1
"Axar Patel","deep fine leg",1
"Axar Patel","deep square leg",1
"Axar Patel","mid-on",1
"Axar Patel","point",1
"Axar Patel","third man",1
"Alzarri Joseph","third man",1
"Anukul Roy","deep fine leg",1
"Anukul Roy","point",1
"Anukul Roy","wicket-keeper",1
"Ambati Rayudu","mid-on",4
"Ambati Rayudu","long-off",2
"Ambati Rayudu","mid-off",2
"Ambati Rayudu","deep cover",1
"Ambati Rayudu","deep fine leg",1
"Ambati Rayudu","mid-wicket",1
"Ambati Rayudu","non-striker's end",1
"Ambati Rayudu","slip",1
"Ambati Rayudu","wicket-keeper",1
"Adil Rashid","gully",1
"Abdul Samad","non-striker's end",3
"Abdul Samad","slip",3
"Abdul Samad","mid-on",2
"Abdul Samad","cover",1
"Abdul Samad","deep cover",1
"Abdul Samad","deep mid-wicket",1
"Abdul Samad","fine leg",1
"Abdul Samad","gully",1
"Abdul Samad","long-off",1
"Abdul Samad","mid-off",1
"Abdul Samad","third man",1
"Abhishek Sharma","deep fine leg",4
"Abhishek Sharma","deep mid-wicket",4
"Abhishek Sharma","long-on",4
"Abhishek Sharma","mid-off",4
"Abhishek Sharma","mid-on",4
"Abhishek Sharma","slip",4
"Abhishek Sharma","square leg",4
"Abhishek Sharma","point",3
"Abhishek Sharma","wicket-keeper",3
"Abhishek Sharma","cover",2
"Abhishek Sharma","deep cover",2
"Abhishek Sharma","fine leg",2
"Abhishek Sharma","long-off",2
"Abhishek Sharma","third man",2
"Abhishek Sharma","gully",1
"Abhishek Sharma","mid-wicket",1
"Abhishek Sharma","non-striker's end",1
"Abhishek Porel","cover",3
"Abhishek Porel","gully",3
"Abhishek Porel","deep cover",2
"Abhishek Porel","deep square leg",2
"Abhishek Porel","mid-wicket",2
"Abhishek Porel","square leg",2
"Abhishek Porel","fine leg",1
"Abhishek Porel","long-off",1
"Abhishek Porel","long-on",1
"Abhishek Porel","mid-off",1
"Abhishek Porel","slip",1
"Abhishek Porel","third man",1
"Abhishek Porel","wicket-keeper",1
"Akash Deep","deep square leg",1
"Akash Deep","gully",1
"Akash Deep","non-striker's end",1
"Aman Hakim Khan","deep cover",2
"Aman Hakim Khan","long-on",2
"Aman Hakim Khan","third man",2
"Aman Hakim Khan","slip",1
"Aniket Verma","slip",2
"Aniket Verma","mid-off",1
"Aniket Verma","mid-wicket",1
"Aniket Verma","point",1
"Aniket Verma","square leg",1
"Aniket Verma","third man",1
"Aniket Verma","wicket-keeper",1
"Anmolpreet Singh","deep fine leg",2
"Anmolpreet Singh","cover",1
"Anmolpreet Singh","deep cover",1
"Anmolpreet Singh","fine leg",1
"Anmolpreet Singh","mid-wicket",1
"Anmolpreet Singh","non-striker's end",1
"Anuj Rawat","deep cover",2
"Anuj Rawat","mid-on",2
"Anuj Rawat","deep fine leg",1
"Anuj Rawat","mid-off",1
"Anuj Rawat","mid-wicket",1
"Anuj Rawat","slip",1
"Anuj Rawat","third man",1
"Arjun Tendulkar","deep cover",1
"Arshad Khan","deep square leg",1
"Arshad Khan","point",1
"Arshad Khan","slip",1
"Arshdeep Singh","deep mid-wicket",1
"Arshdeep Singh","square leg",1
"Ashutosh Sharma","long-on",3
"Ashutosh Sharma","mid-on",2
"Ashutosh Sharma","mid-wicket",2
"Ashutosh Sharma","fine leg",1
"Ashutosh Sharma","slip",1
"Atharva Taide","deep fine leg",1
"Atharva Taide","fine leg",1
"Atharva Taide","long-off",1
"Atharva Taide","non-striker's end",1
"Atharva Taide","point",1
"Atharva Taide","short cover",1
"Atharva Taide","third man",1
"Avesh Khan","third man",1
"Azmatullah Omarzai","deep fine leg",1
"Azmatullah Omarzai","deep mid-wicket",1
"Azmatullah Omarzai","fine leg",1
"Azmatullah Omarzai","mid-off",1
"Azmatullah Omarzai","mid-wicket",1
"Azmatullah Omarzai","slip",1
"Azmatullah Omarzai","third man",1
"Azmatullah Omarzai","wicket-keeper",1
"Baba Indrajith","long-off",2
"Baba Indrajith","square leg",1
"Bhuvneshwar Kumar","third man",2
"Bhuvneshwar Kumar","gully",1
"Bhuvneshwar Kumar","long-off",1
"Bhuvneshwar Kumar","long-on",1
"Bhuvneshwar Kumar","mid-off",1
"Bhuvneshwar Kumar","mid-wicket",1
"Bhuvneshwar Kumar","wicket-keeper",1
"Sai Sudharsan","deep square leg",4
"Sai Sudharsan","deep cover",3
"Sai Sudharsan","deep mid-wicket",3
"Sai Sudharsan","mid-off",3
"Sai Sudharsan","deep fine leg",2
"Sai Sudharsan","fine leg",2
"Sai Sudharsan","point",2
"Sai Sudharsan","square leg",2
"Sai Sudharsan","wicket-keeper",2
"Sai Sudharsan","long-off",1
"Sai Sudharsan","mid-on",1
"Sai Sudharsan","slip",1
"Sai Sudharsan","third man",1
"Ben Stokes","deep cover",1
"Ben Stokes","wicket-keeper",1
"BR Sharath","deep cover",1
"Corbin Bosch","fine leg",1
"Cameron Green","square leg",2
"Cameron Green","deep fine leg",1
"Cameron Green","fine leg",1
"Cameron Green","long-off",1
"Cameron Green","long-on",1
"Cameron Green","mid-on",1
"Cameron Green","non-striker's end",1
"Cameron Green","wicket-keeper",1
"Chetan Sakariya","point",1
"Chris Jordan","deep cover",1
"Chris Jordan","long-on",1
"Chris Jordan","third man",1
"Dewald Brevis","long-on",2
"Dewald Brevis","slip",2
"Dewald Brevis","deep cover",1
"Dewald Brevis","deep square leg",1
"Dewald Brevis","fine leg",1
"Dewald Brevis","long-off",1
"Dewald Brevis","silly mid-off",1
"Dewald Brevis","third man",1
"Donovan Ferreira","mid-off",1
"Donovan Ferreira","mid-wicket",1
"Devdutt Padikkal","deep fine leg",3
"Devdutt Padikkal","deep mid-wicket",3
"Devdutt Padikkal","point",3
"Devdutt Padikkal","slip",3
"Devdutt Padikkal","wicket-keeper",3
"Devdutt Padikkal","deep square leg",2
"Devdutt Padikkal","long-off",2
"Devdutt Padikkal","mid-on",2
"Devdutt Padikkal","mid-wicket",2
"Devdutt Padikkal","cover",1
"Devdutt Padikkal","deep cover",1
"Devdutt Padikkal","short cover",1
"Devdutt Padikkal","square leg",1
"Dwaine Pretorius","deep mid-wicket",1
"Dwaine Pretorius","long-off",1
"David Miller","deep square leg",3
"David Miller","mid-on",3
"David Miller","deep fine leg",2
"David Miller","deep cover",1
"David Miller","fine leg",1
"David Miller","gully",1
"David Miller","long-off",1
"David Miller","long-on",1
"David Miller","mid-off",1
"David Miller","mid-wicket",1
"David Miller","non-striker's end",1
"David Miller","point",1
"David Miller","slip",1
"David Miller","square leg",1
"David Miller","wicket-keeper",1
"David Warner","deep fine leg",3
"David Warner","deep mid-wicket",3
"David Warner","deep square leg",3
"David Warner","gully",3
"David Warner","mid-off",2
"David Warner","wicket-keeper",2
"David Warner","cover",1
"David Warner","fine leg",1
"David Warner","mid-wicket",1
"David Warner","slip",1
"David Warner","square leg",1
"Darshan Nalkande","gully",1
"Dwayne Bravo","mid-wicket",1
"Dwayne Bravo","non-striker's end",1
"Deepak Hooda","mid-on",3
"Deepak Hooda","mid-wicket",3
"Deepak Hooda","fine leg",2
"Deepak Hooda","long-on",2
"Deepak Hooda","mid-off",2
"Deepak Hooda","non-striker's end",2
"Deepak Hooda","point",2
"Deepak Hooda","slip",2
"Deepak Hooda","third man",2
"Deepak Hooda","wicket-keeper",2
"Deepak Hooda","deep cover",1
"Deepak Hooda","deep fine leg",1
"Deepak Hooda","deep mid-wicket",1
"Deepak Hooda","long-off",1
"Deepak Hooda","square leg",1
"Daryl Mitchell","mid-wicket",3
"Daryl Mitchell","point",2
"Daryl Mitchell","cover",1
"Daryl Mitchell","deep fine leg",1
"Daryl Mitchell","mid-on",1
"Daryl Mitchell","short mid-on",1
"Daryl Mitchell","slip",1
"David Willey","wicket-keeper",1
"Deepak Chahar","deep fine leg",1
"Devon Conway","square leg",3
"Devon Conway","deep fine leg",2
"Devon Conway","third man",2
"Devon Conway","cover",1
"Devon Conway","deep cover",1
"Devon Conway","deep mid-wicket",1
"Devon Conway","deep square leg",1
"Devon Conway","long-off",1
"Devon Conway","long-on",1
"Devon Conway","mid-wicket",1
"Daniel Sams","cover",1
"Daniel Sams","fine leg",1
"Daniel Sams","long-off",1
"Daniel Sams","point",1
"Daniel Sams","square leg",1
"Dhruv Jurel","fine leg",4
"Dhruv Jurel","mid-off",2
"Dhruv Jurel","cover",1
"Dhruv Jurel","deep cover",1
"Dhruv Jurel","deep mid-wicket",1
"Dhruv Jurel","deep square leg",1
"Dhruv Jurel","gully",1
"Dhruv Jurel","long-on",1
"Dhruv Jurel","mid-on",1
"Dhruv Jurel","non-striker's end",1
"Dhruv Jurel","point",1
"Dhruv Jurel","square leg",1
"Evin Lewis","deep square leg",1
"Evin Lewis","mid-off",1
"Faf du Plessis","third man",7
"Faf du Plessis","fine leg",5
"Faf du Plessis","slip",5
"Faf du Plessis","long-off",4
"Faf du Plessis","square leg",4
"Faf du Plessis","deep cover",3
"Faf du Plessis","deep mid-wicket",3
"Faf du Plessis","gully",3
"Faf du Plessis","cover",2
"Faf du Plessis","long-on",2
"Faf du Plessis","mid-off",2
"Faf du Plessis","mid-wicket",2
"Faf du Plessis","point",2
"Faf du Plessis","deep fine leg",1
"Faf du Plessis","deep square leg",1
"Faf du Plessis","wicket-keeper",1
"Fabian Allen","slip",1
"Gerald Coetzee","deep mid-wicket",1
"Gerald Coetzee","long-off",1
"Gerald Coetzee","non-striker's end",1
"Gerald Coetzee","point",1
"Glenn Phillips","deep square leg",2
"Glenn Phillips","cover",1
"Glenn Phillips","fine leg",1
"Glenn Maxwell","fine leg",5
"Glenn Maxwell","deep mid-wicket",4
"Glenn Maxwell","mid-off",3
"Glenn Maxwell","deep cover",2
"Glenn Maxwell","long-off",2
"Glenn Maxwell","point",2
"Glenn Maxwell","wicket-keeper",2
"Glenn Maxwell","deep fine leg",1
"Glenn Maxwell","gully",1
"Glenn Maxwell","short mid-on",1
"Glenn Maxwell","square leg",1
"Gulbadin Naib","long-on",1
"Heinrich Klaasen","gully",3
"Heinrich Klaasen","square leg",3
"Heinrich Klaasen","cover",2
"Heinrich Klaasen","deep fine leg",2
"Heinrich Klaasen","fine leg",2
"Heinrich Klaasen","long-on",2
"Heinrich Klaasen","mid-on",2
"Heinrich Klaasen","point",2
"Heinrich Klaasen","deep cover",1
"Heinrich Klaasen","deep square leg",1
"Heinrich Klaasen","long-off",1
"Harry Brook","third man",2
"Harry Brook","deep cover",1
"Rassie van der Dussen","long-off",1
"Hardik Pandya","square leg",7
"Hardik Pandya","long-on",5
"Hardik Pandya","wicket-keeper",4
"Hardik Pandya","long-off",3
"Hardik Pandya","deep mid-wicket",2
"Hardik Pandya","fine leg",2
"Hardik Pandya","gully",2
"Hardik Pandya","mid-off",2
"Hardik Pandya","mid-on",2
"Hardik Pandya","point",2
"Hardik Pandya","third man",2
"Hardik Pandya","cover",1
"Hardik Pandya","deep fine leg",1
"Hardik Pandya","deep square leg",1
"Hardik Pandya","slip",1
"Hrithik Shokeen","deep square leg",1
"Hrithik Shokeen","slip",1
"Harshal Patel","mid-wicket",2
"Harshal Patel","fine leg",1
"Harshal Patel","gully",1
"Harshal Patel","long-off",1
"Harshal Patel","mid-on",1
"Harshal Patel","non-striker's end",1
"Harshal Patel","slip",1
"Harpreet Brar","deep cover",2
"Harpreet Brar","long-off",1
"Harpreet Brar","long-on",1
"Harpreet Brar","slip",1
"Harpreet Singh","short mid-on",1
"Harpreet Singh","wicket-keeper",1
"Harshit Rana","long-off",1
"Harshit Rana","mid-off",1
"Harshit Rana","non-striker's end",1
"Ishan Kishan","deep fine leg",5
"Ishan Kishan","mid-on",5
"Ishan Kishan","point",5
"Ishan Kishan","cover",4
"Ishan Kishan","long-off",4
"Ishan Kishan","third man",4
"Ishan Kishan","gully",3
"Ishan Kishan","long-on",2
"Ishan Kishan","mid-wicket",2
"Ishan Kishan","square leg",2
"Ishan Kishan","deep cover",1
"Ishan Kishan","deep mid-wicket",1
"Ishan Kishan","deep square leg",1
"Ishan Kishan","fine leg",1
"Ishan Kishan","mid-off",1
"Ishan Kishan","short mid-off",1
"Ishan Kishan","wicket-keeper",1
"Jake Fraser-McGurk","gully",2
"Jake Fraser-McGurk","mid-wicket",2
"Jake Fraser-McGurk","third man",2
"Jake Fraser-McGurk","cover",1
"Jake Fraser-McGurk","deep fine leg",1
"Jake Fraser-McGurk","long-off",1
"Jake Fraser-McGurk","long-on",1
"Jake Fraser-McGurk","mid-on",1
"Jake Fraser-McGurk","non-striker's end",1
"Jake Fraser-McGurk","square leg",1
"Jake Fraser-McGurk","wicket-keeper",1
"Jagadeesha Suchith","mid-on",1
"Jhye Richardson","deep cover",1
"Jofra Archer","mid-wicket",1
"Jofra Archer","point",1
"Jofra Archer","square leg",1
"Jofra Archer","wicket-keeper",1
"Jos Buttler","deep mid-wicket",4
"Jos Buttler","cover",3
"Jos Buttler","deep square leg",3
"Jos Buttler","fine leg",3
"Jos Buttler","deep cover",2
"Jos Buttler","mid-on",2
"Jos Buttler","non-striker's end",2
"Jos Buttler","third man",2
"Jos Buttler","gully",1
"Jos Buttler","long-off",1
"Jos Buttler","long-on",1
"Jos Buttler","mid-off",1
"Jos Buttler","mid-wicket",1
"Jos Buttler","slip",1
"Jos Buttler","square leg",1
"Jaydev Unadkat","fine leg",2
"Jaydev Unadkat","gully",1
"James Neesham","silly mid-off",1
"Jacob Bethell","fine leg",1
"Jacob Bethell","gully",1
"Jasprit Bumrah","square leg",1
"Jason Roy","fine leg",1
"Jason Roy","long-off",1
"Jason Roy","mid-off",1
"Jason Roy","mid-on",1
"Jason Roy","mid-wicket",1
"Jonny Bairstow","slip",4
"Jonny Bairstow","mid-off",2
"Jonny Bairstow","cover",1
"Jonny Bairstow","deep mid-wicket",1
"Jonny Bairstow","fine leg",1
"Jonny Bairstow","long-on",1
"Jonny Bairstow","mid-on",1
"Jonny Bairstow","mid-wicket",1
"Jonny Bairstow","point",1
"Jonny Bairstow","third man",1
"Jitesh Sharma","mid-wicket",5
"Jitesh Sharma","long-off",3
"Jitesh Sharma","square leg",3
"Jitesh Sharma","cover",2
"Jitesh Sharma","deep square leg",2
"Jitesh Sharma","mid-on",2
"Jitesh Sharma","slip",2
"Jitesh Sharma","third man",2
"Jitesh Sharma","deep cover",1
"Jitesh Sharma","fine leg",1
"Jitesh Sharma","gully",1
"Jitesh Sharma","long-on",1
"Jitesh Sharma","mid-off",1
"Jitesh Sharma","non-striker's end",1
"Jitesh Sharma","point",1
"Jitesh Sharma","wicket-keeper",1
"Jason Holder","deep fine leg",2
"Jason Holder","deep cover",1
"Jason Holder","long-on",1
"Jason Holder","slip",1
"Jason Holder","third man",1
"Jason Holder","wicket-keeper",1
"Josh Inglis","gully",1
"Josh Inglis","long-on",1
